stage	role	filename	sha256
A	selected final Stage-A checkpoint	stageA_clean_latest_94627ce.pt	94627ce74e30f96a378bb25288ffb69bb7122b687100d49c73a5c3ffd0b83c65
B	selected Stage-B champion	stageB_champion_f1615cb.pt	f1615ccb579f8e1296f52764c855c39e5ddadd200b3ef25570aac39d55439798
C	selected Stage-C champion	stageC_champion_998753_a4778ad.pt	a4778ad54995ab76bc5258cc6f2e17cb4d7c8e29c6c0fdcbfbbb4c57c203a182
C	Stage-D prefix source (dependency, not a second champion)	stageC_highest_1163753_96dffb4.pt	96dffb4361ee6229005b1d4a286bad875efb11ec312ab00f3eea132d1a0a45cd
D	selected promoted full-match checkpoint	stageD_fsg9_3230_promoted_62bef28.pt	62bef28553b799005ebca29a59c41574046da2e3485d8d23ce98b9b5f89b2b12
D	published score-201 demonstration policy	f4_interp_3202000_score201_7710184.pt	771018457138638ee0988bcaa7ee97f5b3939f4e82e0e6f11e9b05418497f271
